title,year,authors,citations,abstract
Effect of natural ageing or pre-ageing on the evolution of precipitate structure and strength during age hardening of Al–Mg–Si alloy AA 6016,2019,"O. Engler, C. Marioara, Y. Aruga",150,Abstract In this study we demonstrate the complementarity of transmission electron microscopy (TEM) and atom probe tomography (APT) in studying the early stages of phase decomposition in the age-harde
Influence of the Fly Ash Material Inoculants on the Tensile and Impact Characteristics of the Aluminum AA 5083/7.5SiC Composites,2021,"S. Nagaraja, Kempaiah Ujjaini Nagegowda, Anand Kumar V",56,"The choice of suitable inoculants in the grain refinement process and subsequent enhancement of the characteristics of the composites developed is an important materials research topic, having wide sc"
NIA‐AA Alzheimer's Disease Framework: Clinical Characterization of Stages,2021,"R. Petersen, H. Wiste, S. Weigand",57,To operationalize the National Institute on Aging – Alzheimer's Association (NIA‐AA) Research Framework for Alzheimer's Disease 6‐stage continuum of clinical progression for persons with abnormal amyl
DHA/AA alleviates LPS-induced Kupffer cells pyroptosis via GPR120 interaction with NLRP3 to inhibit inflammasome complexes assembly,2021,"Guoqiang Fan, Yanfei Li, Jinglong Chen",44,Pyroptosis is a novel type of programmed cell death associated with the pathogenesis of many inflammatory diseases. Docosahexaenoic acid (DHA) and Arachidonic acid (AA) is widely involved in inflammat
circFBXW7 Inhibits Malignant Progression by Sponging miR-197-3p and Encoding a 185-aa Protein in Triple-Negative Breast Cancer,2019,"Feng Ye, Guanfeng Gao, Yutian Zou",217,Accumulating evidence indicates that circular RNAs (circRNAs) are vital regulators of various biological functions involved in the progression of multiple cancers. Circular F-box and WD repeat domain 
Layer-by-Layer Growth of AA-Stacking MoS2 for Tunable Broadband Phototransistors.,2021,"Xia Luo, Z. Peng, Zegao Wang",41,"The stacking configuration has been considered as an important additional degree of freedom to tune the physical property of layered materials, such as superconductivity and interlayer excitons. Howev"
Aggregatibacter actinomycetemcomitans (Aa) Under the Radar: Myths and Misunderstandings of Aa and Its Role in Aggressive Periodontitis,2019,"D. Fine, Amey Patil, S. Velusamy",118,Aggregatibacter actinomycetemcomitans (Aa) is a low-abundance Gram-negative oral pathobiont that is highly associated with a silent but aggressive orphan disease that results in periodontitis and toot
Causes of AA amyloidosis: a systematic review,2019,"A. Brunger, H. Nienhuis, J. Bijzet",102,"Abstract From a clinical perspective, there is a need for a reliable and comprehensive list of diseases causing AA amyloidosis. This list could guide clinicians in the evaluation of patients with AA a"
Cryo-EM fibril structures from systemic AA amyloidosis reveal the species complementarity of pathological amyloids,2019,"F. Liberta, S. Loerch, M. Rennegarbe",119,"Systemic AA amyloidosis is a worldwide occurring protein misfolding disease of humans and animals. It arises from the formation of amyloid fibrils from the acute phase protein serum amyloid A. Here, w"
Hadronic rescattering in pA and AA collisions,2021,"C. Bierlich, T. Sjöstrand, M. Utheim",35,"In a recent article we presented a model for hadronic rescattering, and some results were shown for pp\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \use"
"Revisiting the evidence for genotoxicity of acrylamide (AA), key to risk assessment of dietary AA exposure",2020,G. Eisenbrand,64,The weight of evidence pro/contra classifying the process-related food contaminant (PRC) acrylamide (AA) as a genotoxic carcinogen is reviewed. Current dietary AA exposure estimates reflect margins of
Inflammation with the participation of arachidonic (AA) and linoleic acid (LA) derivatives (HETEs and HODEs) is necessary in the course of a normal reproductive cycle and pregnancy.,2020,"Justyna Kikut, Natalia Komorniak, Maciej Ziętek",58,"Data on arachidonic (AA) and linoleic (LA) acid derivatives and their role in the reproductive cycle are limited. In order to systematize these reports, 54 scientific investigations were analyzed, whi"
"A Multi-ringed, Modestly Inclined Protoplanetary Disk around AA Tau",2017,"R. Loomis, K. Öberg, S. Andrews",128,AA Tau is the archetype for a class of stars with a peculiar periodic photometric variability thought to be related to a warped inner disk structure with a nearly edge-on viewing geometry. We present 
"Secondary, AA, Amyloidosis.",2018,"R. Papa, H. Lachmann",127,"Secondary, AA, amyloidosis is a rare systemic complication that can develop in any long-term inflammatory disorder, and is characterized by the extracellular deposition of fibrils derived from serum a"
A novel automated image analysis system using deep convolutional neural networks can assist to differentiate MDS and AA,2019,"Konobu Kimura, Y. Tabe, Tomohiko Ai",80,Detection of dysmorphic cells in peripheral blood (PB) smears is essential in diagnostic screening of hematological diseases. Myelodysplastic syndromes (MDS) are hematopoietic neoplasms characterized 
Oxidative potential of ambient water-soluble PM 2.5 in the southeastern United States: contrasts in sources and health associations between ascorbic acid (AA) and dithiothreitol (DTT) assays,2016,"T. Fang, V. Verma, J. Bates",293,Abstract. The ability of certain components of particulate matter to induce oxidative stress through the generation of reactive oxygen species (ROS) in vivo may be one mechanism accounting for observe
Development and Testing of the OPLS-AA/M Force Field for RNA.,2019,"M. Robertson, Yue Qian, Matthew C Robinson",79,"Significant improvements have been made to the OPLS-AA force field for modeling RNA. New torsional potentials were optimized based on density functional theory (DFT) scans at the ωB97X-D/6-311++G(d,p)"
Improved Peptide and Protein Torsional Energetics with the OPLS-AA Force Field,2015,"M. Robertson, J. Tirado-Rives, W. L. Jorgensen",739,"The development and validation of new peptide dihedral parameters are reported for the OPLS-AA force field. High accuracy quantum chemical methods were used to scan φ, ψ, χ1, and χ2 potential energy s"
"Poly(AA-co-VPA) hydrogel cross-linked with N-maleyl chitosan as dye adsorbent: Isotherms, kinetics and thermodynamic investigation.",2018,"Mahdi Taghvay Nakhjiri, Gholam Bagheri Marandi, M. Kurdtabar",119,"In this study, hydrogel polymer was synthesized by incorporation of acrylic acid (AA), vinylphosphonic acid (VPA) and N-maleyl chitosan which was prepared through the acylation reaction between maleic"
Targeting Nrf2/HO-1 signaling by crocin: Role in attenuation of AA-induced ulcerative colitis in rats.,2019,"Ahmed E Khodir, Eman Said, H. Atif",74,"Ulcerative colitis (UC) is usually a mildly active disease; however, it can be associated with serious systemic complications. The current study was undertaken to evaluate the anti-ulcerogenic and col"
"Formability of AA 2219-O sheet under quasi-static, electromagnetic dynamic, and mechanical dynamic tensile loadings",2020,"Hongliang Su, Liang Huang, Jianjun Li",48,"Abstract The mechanism by which electromagnetic forming (EMF) enhances the formability of metals is unclear owing to the coupling effect of multi-physics fields. In the present work, the associated fo"
Temperature and Stress Evaluation during Three Different Phases of Friction Stir Welding of AA 7075-T651 Alloy,2020,"K. Salloomi, Furat I. Hussein, S. Al-Sumaidae",43,The current study performs an explicit nonlinear finite element simulation to predict temperature distribution and consequent stresses during the friction stir welding (FSW) of AA 7075-T651 alloy. The
Two-dimensional simulation of grain structure growth within selective laser melted AA-2024,2017,"Omar E. López-Botello, Uriel Martinez-Hernandez, J. Ramirez",117,A two-dimensional Cellular Automata (CA) – Finite Element (FE) (CA-FE) coupled model has been developed to predict the microstructures formed during the laser melting of a powdered AA-2024 feedstock u
